customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000047,Male,1,No,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),53.12,3063.28,No
C00000048,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,80.43,4823.73,No
C00000049,Male,0,No,No,31,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),118.15,3842.71,No
C00000050,Male,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.42,1055.24,No
C00000051,Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.2,2326.96,Yes
C00000052,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,41.57,2599.17,Yes
C00000053,Female,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.04,564.53,Yes
C00000054,Male,1,No,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,39.43,2377.76,No
C00000055,Female,0,No,Yes,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.01,781.94,Yes
C00000056,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,126.39,-46.43,No
C00000057,Male,0,Yes,Yes,44,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.42,3828.38,No
C00000058,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),48.41,68.69,No
C00000059,Female,0,No,No,41,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.52,2984.42,No
C00000060,Female,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,90.05,3331.13,No
C00000061,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.72,-136.78,No
C00000062,Female,0,Yes,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.99,3804.46,No
C00000063,Female,0,No,No,21,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),31.69,626.45,No
C00000064,Female,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,88.64,2877.05,No
C00000065,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,56.11,2218.7,No
C00000066,Male,0,No,No,16,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,64.3,1130.31,No
C00000067,Male,0,No,No,55,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,96.64,5029.98,No
C00000068,Female,1,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,18.0,137.26,No
C00000069,Male,1,Yes,No,69,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.88,3479.39,No
C00000070,Male,0,No,No,48,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,90.01,4528.08,No
C00000071,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,73.86,4054.22,No
C00000072,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.26,2036.76,No
C00000073,Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),63.08,779.71,No
C00000074,Male,1,No,No,15,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,59.12,922.89,No
C00000075,Female,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,92.04,1533.48,No
C00000076,Male,1,Yes,No,0,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.85,-130.74,No
C00000077,Male,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.58,1915.63,Yes
C00000078,Male,0,No,No,64,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,136.49,8663.88,No
C00000079,Female,0,Yes,No,65,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,70.24,4792.38,No
C00000080,Male,0,No,No,36,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,56.25,2078.21,No
C00000081,Female,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,150.0,3369.04,No
C00000082,Male,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.62,2947.69,No
C00000083,Female,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.58,1746.15,No
C00000084,Male,0,Yes,Yes,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,53.27,2032.21,Yes
C00000085,Female,0,No,Yes,34,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,18.0,577.06,Yes
C00000086,Female,1,Yes,No,37,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),91.55,3485.24,No
C00000087,Male,0,Yes,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,52.57,2421.45,No
C00000088,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,87.95,1616.25,No
C00000089,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),74.76,3350.85,No
C00000090,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,101.15,168.09,No
C00000091,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.25,3212.15,No
C00000092,Male,0,Yes,No,22,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),106.21,2532.61,No
C00000093,Male,1,No,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.03,1081.25,No
C00000094,Male,1,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),66.62,378.08,No
C00000095,Male,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),41.57,2924.39,No
C00000096,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),64.34,3726.04,Yes
C00000097,Male,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),58.64,2319.3,No
C00000098,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.88,1941.56,Yes
C00000099,Male,1,No,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,126.32,2629.65,No
C00000100,Female,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.37,5567.04,No
C00000101,Female,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.25,1503.55,No
C00000102,Male,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,142.1,834.54,No
C00000103,Male,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,52.85,281.74,No
C00000104,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.75,825.38,No
C00000105,Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,111.84,7462.15,No
C00000106,Male,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,59.1,677.82,No
C00000107,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,64.37,2933.8,Yes
C00000108,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.05,2127.82,No
C00000109,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),124.66,-138.46,No
C00000110,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),61.14,1959.31,No
C00000111,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.2,5199.46,No
C00000112,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,62.65,1229.23,No
C00000113,Male,0,No,Yes,43,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),52.41,2197.99,No
C00000114,Male,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),22.14,1377.68,No
C00000115,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),20.68,952.56,Yes
C00000116,Male,1,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.81,1398.35,No
C00000117,Female,1,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),129.57,5432.87,No
C00000118,Male,0,Yes,No,57,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.27,3970.97,Yes
C00000119,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,31.4,240.38,No
C00000120,Female,0,No,No,32,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),49.71,1588.64,No
C00000121,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.0,4533.7,Yes
C00000122,Female,0,Yes,Yes,18,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),92.08,1730.12,No
C00000123,Male,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,72.86,2387.83,Yes
C00000124,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,110.61,254.0,No
C00000125,Female,0,Yes,Yes,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),37.47,40.66,No
C00000126,Male,0,No,No,40,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,40.61,1333.76,No
C00000127,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.67,4756.64,No
C00000128,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,45.14,1924.17,No
C00000129,Male,1,Yes,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.0,478.26,No
C00000130,Male,0,No,No,10,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),73.94,902.08,No
C00000131,Male,0,No,No,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.97,1317.4,No
C00000132,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,112.22,7343.39,Yes
C00000133,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),112.58,1208.61,No
C00000134,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),101.87,5405.95,No
C00000135,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,104.63,5859.08,No
C00000136,Female,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,24.49,1448.46,No
C00000137,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,40.58,779.89,No
C00000138,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.66,1640.69,Yes
C00000139,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),50.82,3578.23,No
C00000140,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,62.1,4190.0,No
C00000141,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.86,5732.84,Yes
C00000142,Female,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),109.24,6280.79,No
C00000143,Male,0,Yes,No,48,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.64,4157.03,No
C00000144,Male,1,No,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,1073.96,No
C00000145,Male,1,Yes,No,22,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),40.38,1034.34,Yes
C00000146,Female,1,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,86.59,244.22,No
C00000147,Female,0,Yes,No,55,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.02,6063.79,Yes
C00000148,Female,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,114.15,6416.89,No
C00000149,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),29.47,1689.96,No
C00000150,Male,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,104.22,1681.89,No
C00000151,Female,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),60.02,3481.5,No
C00000152,Female,0,Yes,Yes,36,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,37.97,1374.25,No
C00000153,Female,1,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,93.33,4974.13,No
C00000154,Female,0,No,No,64,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),72.96,5117.7,No
C00000155,Female,1,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,75.99,1351.21,No
C00000156,Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.65,397.09,No
C00000157,Female,0,Yes,No,61,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.93,4633.89,No
C00000158,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,33.51,-85.95,No
C00000159,Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,91.58,5597.42,No
C00000160,Male,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,87.56,5494.24,No
C00000161,Female,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,41.24,637.18,No
C00000162,Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.3,3681.29,No
C00000163,Male,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,109.44,4734.56,No
C00000164,Male,1,No,Yes,68,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.74,4433.57,Yes
C00000165,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.38,3743.74,Yes
C00000166,Female,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,88.95,5537.75,No
C00000167,Male,0,Yes,Yes,47,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.97,3649.85,No
C00000168,Female,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.82,413.68,Yes
C00000169,Female,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),18.0,930.97,No
C00000170,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),45.93,2538.19,No
C00000171,Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,55.5,2610.94,No
C00000172,Female,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,51.27,419.19,Yes
C00000173,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),117.96,4297.29,Yes
C00000174,Male,0,Yes,No,12,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,93.77,929.86,Yes
C00000175,Male,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,85.54,3258.24,Yes
C00000176,Male,0,Yes,No,10,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,71.49,843.27,No
